order_id,customer_id,customer_loyalty_tier,customer_acquisition_channel,customer_signup_date,restaurant_id,restaurant_cuisine,restaurant_city,restaurant_rating,restaurant_avg_prep_time,menu_item_id,menu_item_name,menu_item_category,item_price,quantity,order_timestamp,delivery_timestamp,delivery_duration_actual,delivery_duration_estimated,delivery_fee,tip,total_amount,discount_code,discount_type,discount_value,order_status,weather_temperature,weather_precipitation,is_weekend,is_holiday,event_flag
1120,1259,Silver,email,23-12-2024,72,Chinese,San Diego,4.6,26,373,Level Appetizer,Appetizer,20.48,1,02-01-2023 00:49,02-01-2023 01:31,42,42,2.28,3.41,26.17,,,0,completed,8.3,0,FALSE,FALSE,
5995,7027,Bronze,referral,24-09-2024,87,Japanese,New York,3.9,22,469,Former Main Course,Main Course,8.98,1,02-01-2023 02:28,02-01-2023 03:21,53,44,6.52,1.92,17.42,,,0,completed,7.7,0,FALSE,FALSE,
2456,8603,Bronze,referral,16-10-2024,141,Mediterranean,Chicago,4,33,760,Fund Appetizer,Appetizer,27.12,1,02-01-2023 03:15,02-01-2023 04:11,56,43,5.19,3.73,36.04,,,0,completed,3.5,0,FALSE,FALSE,
1130,2231,Bronze,paid_ads,10-01-2024,154,Fast Food,San Diego,3.3,30,833,Thus Dessert,Dessert,9.8,1,02-01-2023 03:26,02-01-2023 04:31,65,47,7.63,1,18.43,,,0,completed,3,11,FALSE,FALSE,
3685,7455,Silver,paid_ads,11-02-2023,13,Fast Food,Phoenix,4.3,18,70,Finally Pizza,Pizza,15.29,2,02-01-2023 05:50,02-01-2023 06:23,33,29,5.8,1.52,37.9,,,0,completed,7,0,FALSE,FALSE,
1600,2061,Bronze,social_media,05-01-2024,90,Chinese,San Diego,4.2,29,481,Would Burger,Burger,31.84,1,02-01-2023 06:06,02-01-2023 07:00,54,48,5.19,2.74,39.77,,,0,completed,8.4,0,FALSE,FALSE,
5652,3899,Bronze,email,16-11-2023,99,Japanese,Phoenix,4.2,34,530,Expert Main Course,Main Course,12.08,1,02-01-2023 07:33,02-01-2023 08:36,63,54,3.76,2.63,18.47,,,0,completed,6.7,0,FALSE,FALSE,
10229,2614,Silver,social_media,29-04-2023,91,Mediterranean,New York,3.1,17,490,Different Beverage,Beverage,15.11,1,02-01-2023 09:36,02-01-2023 10:21,45,33,3.41,1.27,14.79,PROMO-BZXO,fixed_amount,5,completed,7.9,0,FALSE,FALSE,
5931,7016,Silver,paid_ads,28-01-2024,94,Japanese,Los Angeles,3.7,10,503,Left Dessert,Dessert,15.38,1,02-01-2023 09:56,02-01-2023 10:28,32,33,3.37,3.79,22.54,,,0,completed,6.2,0,FALSE,FALSE,
7530,6699,Bronze,email,25-01-2024,184,Fast Food,Phoenix,4.8,31,1009,Edge Sushi,Sushi,25.45,1,02-01-2023 10:17,02-01-2023 11:29,72,53,4.43,3.87,33.75,,,0,completed,9.2,0.8,FALSE,FALSE,
10475,1803,Bronze,referral,16-03-2023,22,Mexican,Chicago,4.1,25,117,Expect Pasta,Pasta,10.44,1,02-01-2023 11:20,02-01-2023 11:58,38,35,3.02,2.13,14.02,PROMO-CXEK,percentage,1.57,completed,3.3,0,FALSE,FALSE,
4809,678,Bronze,email,21-04-2023,115,American,Chicago,4.7,13,607,Clear Sushi,Sushi,33.64,1,02-01-2023 12:31,02-01-2023 13:00,29,31,7.06,4.15,44.85,,,0,completed,8,0,FALSE,FALSE,
1756,8088,Silver,organic,10-12-2024,168,American,Los Angeles,4.8,19,919,According Pizza,Pizza,19.83,1,02-01-2023 12:36,02-01-2023 13:18,42,31,6.82,3.24,27.89,PROMO-GPTV,fixed_amount,2,completed,4.7,0,FALSE,FALSE,
8641,4714,Bronze,email,10-09-2024,165,Chinese,San Antonio,4.9,24,904,There Beverage,Beverage,12.85,4,02-01-2023 13:28,02-01-2023 14:20,52,38,6.36,12.72,70.48,,,0,completed,1.4,0,FALSE,FALSE,
7599,7731,Bronze,social_media,26-04-2024,81,American,Houston,4.8,31,428,Apply Sushi,Sushi,16.93,2,02-01-2023 13:43,02-01-2023 14:36,53,48,2.28,4.23,40.37,,,0,completed,4.1,0,FALSE,FALSE,
8659,3005,Bronze,organic,19-07-2023,92,Indian,Chicago,3.1,18,494,Worker Pasta,Pasta,24.6,2,02-01-2023 14:02,02-01-2023 14:47,45,41,2.42,3.24,54.86,,,0,completed,6.8,0,FALSE,FALSE,
1357,8987,Bronze,referral,13-03-2023,11,Fast Food,San Antonio,4.1,13,62,Show Main Course,Main Course,20.35,1,02-01-2023 15:16,02-01-2023 15:57,41,40,5.81,3.31,29.47,,,0,completed,9.1,0,FALSE,FALSE,
5668,729,Bronze,email,06-06-2023,92,Indian,Chicago,3.1,18,497,Authority Sushi,Sushi,10.99,1,02-01-2023 16:34,,,47,6.48,2.53,18.35,PROMO-JZOF,percentage,1.65,cancelled,5.2,0,FALSE,FALSE,
3896,9886,Bronze,email,24-03-2023,119,Mediterranean,San Antonio,3.3,34,636,Box Pasta,Pasta,26.96,1,02-01-2023 16:40,02-01-2023 17:44,64,48,2.15,0.12,29.23,,,0,completed,3.8,8.6,FALSE,FALSE,
10676,4735,Bronze,organic,11-12-2023,16,Mexican,Phoenix,3.5,18,80,Available Beverage,Beverage,23.17,1,02-01-2023 17:00,02-01-2023 17:38,38,36,3.73,5.75,32.65,,,0,completed,7,0,FALSE,FALSE,
5399,191,Silver,referral,07-02-2024,90,Chinese,San Diego,4.2,29,485,Pretty Sushi,Sushi,26.95,2,02-01-2023 20:22,02-01-2023 21:20,58,56,2.81,7.34,62.05,PROMO-GJKN,fixed_amount,2,completed,0,5.9,FALSE,FALSE,
3393,4995,Silver,referral,18-12-2024,189,American,New York,4.5,18,1046,Person Burger,Burger,26.91,1,02-01-2023 22:13,02-01-2023 22:50,37,39,3.38,5.38,32.29,PROMO-FLPF,free_delivery,3.38,completed,5.5,0,FALSE,FALSE,
5680,3867,Bronze,social_media,29-03-2023,112,American,San Antonio,3.2,30,595,Rest Pasta,Pasta,18.9,4,02-01-2023 23:50,03-01-2023 00:54,64,41,5.1,2.23,77.83,PROMO-JZNE,free_delivery,5.1,completed,-0.5,1.6,FALSE,FALSE,
4602,9682,Bronze,email,27-06-2023,50,Japanese,Chicago,4.7,19,261,Authority Sushi,Sushi,28.13,1,03-01-2023 02:25,03-01-2023 02:53,28,32,2.65,2.05,32.83,,,0,completed,0.9,0,FALSE,FALSE,
2578,6040,Bronze,paid_ads,11-05-2024,25,Indian,Los Angeles,3.5,12,129,Drop Dessert,Dessert,14.04,1,03-01-2023 03:24,03-01-2023 03:53,29,25,3.37,3.43,20.84,,,0,completed,1.6,0,FALSE,FALSE,
7363,6446,Bronze,email,05-04-2023,117,Italian,Chicago,3.8,28,626,Suffer Pizza,Pizza,16.21,1,03-01-2023 05:23,03-01-2023 06:24,61,53,5.38,1.17,17.38,PROMO-HUKW,free_delivery,5.38,completed,6.2,0,FALSE,FALSE,
4614,8830,Bronze,paid_ads,29-08-2023,55,American,New York,3.3,23,284,Sell Beverage,Beverage,22.71,3,03-01-2023 05:26,03-01-2023 06:16,50,50,5.04,7.02,80.19,,,0,completed,3.8,0,FALSE,FALSE,
5732,4046,Bronze,organic,08-08-2023,194,American,San Diego,4.6,32,1071,Raise Sushi,Sushi,12.03,1,03-01-2023 08:27,03-01-2023 09:15,48,46,7.14,0.84,20.01,,,0,completed,2.1,0,FALSE,FALSE,
3948,6316,Gold,email,05-07-2024,4,American,New York,4.8,29,19,All Appetizer,Appetizer,5.44,1,03-01-2023 09:24,03-01-2023 10:19,55,43,2.89,0.64,8.97,,,0,completed,7.3,0,FALSE,FALSE,
1087,5625,Gold,referral,11-02-2024,113,Mediterranean,Houston,3.1,20,599,Health Sushi,Sushi,9.47,1,03-01-2023 09:39,03-01-2023 10:31,52,41,4.21,0.38,14.06,,,0,completed,2.5,0,FALSE,FALSE,
9423,4159,Bronze,social_media,13-12-2024,122,Mexican,Phoenix,4.4,18,654,Agent Beverage,Beverage,8.12,1,03-01-2023 11:28,03-01-2023 12:09,41,34,7.54,1.03,16.69,,,0,completed,6,2.1,FALSE,FALSE,
6414,4112,Silver,paid_ads,02-02-2023,142,Italian,Houston,3.9,30,763,Letter Pasta,Pasta,28.55,1,03-01-2023 11:53,03-01-2023 12:50,57,50,6.76,2.13,37.44,,,0,completed,5.3,0,FALSE,FALSE,
2010,6835,Bronze,paid_ads,10-06-2023,155,Mexican,San Diego,3.1,29,838,Majority Pasta,Pasta,11.12,1,03-01-2023 14:50,03-01-2023 15:51,61,48,5.57,2.27,18.96,,,0,completed,3.9,0,FALSE,FALSE,
4945,9034,Gold,social_media,01-09-2023,187,Chinese,Chicago,3.6,10,1032,Box Appetizer,Appetizer,26.23,1,03-01-2023 15:48,03-01-2023 16:07,19,23,6.6,2.56,35.39,,,0,completed,4.8,0,FALSE,FALSE,
4424,3952,Bronze,paid_ads,02-06-2023,192,Fast Food,Chicago,3.8,30,1061,Others Pizza,Pizza,6.94,1,03-01-2023 15:54,03-01-2023 16:36,42,45,4.68,1.38,13,,,0,completed,7.3,0,FALSE,FALSE,
9192,5221,Bronze,email,17-11-2024,13,Fast Food,Phoenix,4.3,18,72,Production Burger,Burger,24.46,1,03-01-2023 17:22,03-01-2023 18:07,45,45,7.45,3.92,35.83,,,0,completed,0.8,0,FALSE,FALSE,
3981,4059,Bronze,referral,15-03-2024,197,Chinese,San Diego,4.7,14,1091,Rather Appetizer,Appetizer,20.38,1,03-01-2023 18:21,03-01-2023 19:15,54,43,5.59,4.66,30.63,,,0,completed,10.7,0,FALSE,FALSE,
1009,3248,Silver,paid_ads,04-04-2023,122,Mexican,Phoenix,4.4,18,653,Dog Main Course,Main Course,15.23,1,03-01-2023 22:02,03-01-2023 22:49,47,38,6.16,3.09,18.32,PROMO-ODXF,free_delivery,6.16,completed,3.9,0,FALSE,FALSE,
8185,1217,Silver,paid_ads,03-05-2024,12,American,San Antonio,4.4,21,64,Not Beverage,Beverage,20.98,1,04-01-2023 00:06,04-01-2023 00:57,51,42,5.9,4.73,31.61,,,0,completed,6.1,0,FALSE,FALSE,
4063,6093,Bronze,organic,16-02-2024,6,Mediterranean,Phoenix,3,34,30,Science Appetizer,Appetizer,6.38,1,04-01-2023 05:46,04-01-2023 06:40,54,54,6.03,0.84,7.22,PROMO-QATV,free_delivery,6.03,completed,1.1,0,FALSE,FALSE,
5114,7981,Gold,paid_ads,13-07-2024,104,Indian,Philadelphia,4.3,15,557,Case Appetizer,Appetizer,8.98,1,04-01-2023 05:56,04-01-2023 06:38,42,40,5.84,2.05,16.87,,,0,completed,11.8,0,FALSE,FALSE,
1291,9091,Bronze,email,24-11-2023,121,Mediterranean,San Diego,4.1,24,646,Magazine Burger,Burger,11.96,1,04-01-2023 07:03,04-01-2023 07:56,53,36,2.43,0.46,14.85,,,0,completed,1.4,5.5,FALSE,FALSE,
5713,5587,Bronze,organic,20-12-2023,188,American,San Antonio,3.4,11,1040,How Appetizer,Appetizer,26.11,2,04-01-2023 09:30,04-01-2023 09:59,29,22,5.61,1.1,58.93,,,0,completed,5.3,0.3,FALSE,FALSE,
3658,7077,Bronze,referral,12-08-2024,53,Fast Food,Houston,4.7,15,278,Woman Dessert,Dessert,15.33,1,04-01-2023 11:52,04-01-2023 12:38,46,38,6.69,2.02,24.04,,,0,completed,8.1,0.5,FALSE,FALSE,
5967,7941,Silver,organic,19-05-2023,53,Fast Food,Houston,4.7,15,277,Development Pizza,Pizza,28.13,2,04-01-2023 12:59,04-01-2023 13:29,30,35,1.99,11.62,69.87,,,0,completed,7.6,0,FALSE,FALSE,
9175,2223,Silver,referral,26-08-2024,42,American,San Antonio,4.9,12,221,Truth Appetizer,Appetizer,29.21,1,04-01-2023 15:15,04-01-2023 15:52,37,27,7.34,1.55,38.1,,,0,completed,7.6,0,FALSE,FALSE,
8749,9450,Bronze,social_media,22-05-2024,124,American,Los Angeles,3.6,23,670,Not Pizza,Pizza,34.86,1,04-01-2023 15:17,04-01-2023 16:02,45,35,7.7,8.44,51,,,0,completed,4.4,9.3,FALSE,FALSE,
3505,7980,Bronze,referral,02-07-2023,190,Japanese,New York,4.6,12,1048,Then Sushi,Sushi,30.57,1,04-01-2023 22:17,04-01-2023 22:56,39,33,2.76,1.42,29.75,PROMO-VJCU,fixed_amount,5,completed,11.3,0,FALSE,FALSE,
8108,1515,Silver,social_media,09-06-2024,154,Fast Food,San Diego,3.3,30,832,Whose Main Course,Main Course,31.31,1,04-01-2023 22:58,04-01-2023 23:56,58,54,5.2,5.55,37.36,PROMO-SKMA,percentage,4.7,completed,3.2,0,FALSE,FALSE,
1249,8609,Bronze,email,27-10-2023,27,Japanese,Phoenix,4.9,34,141,Under Pizza,Pizza,14.35,2,04-01-2023 23:45,05-01-2023 00:41,56,49,2.65,6.57,37.92,,,0,completed,5.2,0,FALSE,FALSE,
3264,2884,Bronze,social_media,02-11-2024,136,Mexican,San Diego,3.1,19,734,Once Beverage,Beverage,8.03,1,05-01-2023 00:41,,,43,3.69,1.94,13.66,,,0,cancelled,3.9,4.1,FALSE,FALSE,
7621,3827,Gold,organic,07-09-2024,5,Fast Food,Houston,4.2,25,26,Option Pasta,Pasta,30.87,1,05-01-2023 01:25,05-01-2023 02:03,38,38,5.72,5.1,41.69,,,0,completed,3.2,0,FALSE,FALSE,
4234,4340,Silver,social_media,11-05-2023,18,Mediterranean,Phoenix,4.5,23,98,Hospital Beverage,Beverage,26.33,2,05-01-2023 11:04,05-01-2023 12:03,59,49,3.81,7.56,60.22,PROMO-ARSN,free_delivery,3.81,completed,8.4,0,FALSE,FALSE,
3466,675,Gold,referral,20-04-2024,53,Fast Food,Houston,4.7,15,276,Land Dessert,Dessert,9.64,1,05-01-2023 11:44,05-01-2023 12:23,39,41,4.18,0.22,14.04,,,0,completed,8.5,0,FALSE,FALSE,
8730,6290,Silver,paid_ads,22-11-2024,108,Indian,Los Angeles,3.6,24,573,Well Pizza,Pizza,8.2,1,05-01-2023 12:18,05-01-2023 13:08,50,41,6.47,0.04,13.48,PROMO-WJYF,percentage,1.23,completed,5.8,0,FALSE,FALSE,
3790,103,Silver,referral,25-11-2023,163,Mediterranean,New York,3.9,28,892,Claim Appetizer,Appetizer,10.58,1,05-01-2023 13:31,05-01-2023 14:20,49,43,5.44,2.61,18.63,,,0,completed,7.9,0,FALSE,FALSE,
6338,3994,Bronze,organic,19-08-2023,82,Indian,Houston,3.7,16,433,Tonight Pizza,Pizza,26.45,1,05-01-2023 15:06,05-01-2023 15:48,42,42,5.1,1.81,33.36,,,0,completed,2.3,0,FALSE,FALSE,
5488,3709,Bronze,organic,18-07-2023,2,Indian,San Diego,3.2,26,9,Since Main Course,Main Course,25.15,1,05-01-2023 16:48,,,46,3.94,0.45,29.54,,,0,cancelled,2.6,0,FALSE,FALSE,
3459,1496,Bronze,email,10-07-2023,164,Indian,Los Angeles,4.1,14,896,Join Main Course,Main Course,19.89,2,05-01-2023 18:28,05-01-2023 19:03,35,28,6.21,5.36,51.35,,,0,completed,-1.9,0,FALSE,FALSE,
6148,3393,Bronze,organic,29-08-2024,159,Italian,New York,4.9,23,869,Space Pasta,Pasta,26.23,2,05-01-2023 19:13,05-01-2023 20:10,57,46,4.53,4.1,61.09,,,0,completed,-2.7,3.4,FALSE,FALSE,
6263,7538,Bronze,organic,03-10-2023,170,Japanese,San Antonio,3.1,27,933,Such Pizza,Pizza,23.39,1,05-01-2023 22:45,,,44,7.38,2.09,32.86,,,0,cancelled,9.6,0,FALSE,FALSE,
6477,2786,Bronze,social_media,26-01-2024,52,Japanese,New York,3.8,26,272,Evidence Appetizer,Appetizer,11.45,1,06-01-2023 01:45,06-01-2023 02:44,59,52,5.6,1.01,18.06,,,0,completed,4.9,0,FALSE,FALSE,
3641,5820,Silver,social_media,22-08-2024,6,Mediterranean,Phoenix,3,34,32,Kind Dessert,Dessert,11.27,1,06-01-2023 03:09,06-01-2023 03:48,39,44,5.22,0.7,17.19,,,0,completed,7.6,0,FALSE,FALSE,
1992,3660,Gold,paid_ads,13-01-2024,157,American,Los Angeles,3.1,25,852,Last Pasta,Pasta,31.59,3,06-01-2023 05:51,06-01-2023 06:22,31,35,6.81,22.93,124.51,,,0,completed,5.9,0,FALSE,FALSE,
8709,4881,Silver,paid_ads,13-02-2023,114,Japanese,San Antonio,4.9,14,605,Pressure Dessert,Dessert,10.87,1,06-01-2023 05:53,06-01-2023 06:36,43,30,4.9,0.72,16.49,,,0,completed,7.8,0,FALSE,FALSE,
6808,5589,Bronze,email,14-07-2024,3,Mexican,San Antonio,3.3,26,17,Knowledge Dessert,Dessert,24.18,2,06-01-2023 07:51,,,55,3.67,6.73,58.76,,,0,cancelled,7.2,0,FALSE,FALSE,
7195,4803,Silver,paid_ads,19-10-2023,59,Fast Food,San Diego,4.1,18,301,Once Burger,Burger,32.73,1,06-01-2023 08:29,06-01-2023 09:12,43,38,2.92,1.95,37.6,,,0,completed,0,0,FALSE,FALSE,
2034,4892,Bronze,social_media,09-06-2023,8,Mexican,Houston,4.3,22,42,Collection Burger,Burger,29.65,3,06-01-2023 09:23,06-01-2023 10:16,53,43,5.36,16.94,111.25,,,0,completed,8.4,0,FALSE,FALSE,
10985,3526,Silver,organic,13-01-2024,10,Chinese,Phoenix,3.3,26,52,Best Dessert,Dessert,5.08,4,06-01-2023 09:52,06-01-2023 10:35,43,47,4.54,1.16,26.02,,,0,completed,6.8,0,FALSE,FALSE,
1163,3518,Silver,paid_ads,24-06-2023,36,Mexican,Houston,4.4,22,188,Newspaper Pizza,Pizza,28.41,1,06-01-2023 10:01,06-01-2023 10:33,32,36,4.37,4.37,37.15,,,0,completed,-1.6,0,FALSE,FALSE,
10631,4778,Gold,referral,23-11-2023,28,Chinese,Philadelphia,3.8,29,151,Low Main Course,Main Course,17.27,1,06-01-2023 10:09,06-01-2023 11:02,53,51,4.09,3.6,24.96,,,0,completed,6.6,0,FALSE,FALSE,
5587,4190,Silver,email,24-04-2024,79,American,New York,4.4,28,409,Same Appetizer,Appetizer,25.28,1,06-01-2023 10:21,06-01-2023 11:32,71,57,6.02,1.72,33.02,,,0,completed,-0.2,0,FALSE,FALSE,
1146,6934,Silver,referral,01-10-2023,67,Indian,Houston,4.4,25,344,Manage Dessert,Dessert,29.92,1,06-01-2023 14:29,06-01-2023 15:13,44,40,5.1,6.01,41.03,,,0,completed,9.3,0,FALSE,FALSE,
2597,6138,Gold,social_media,06-08-2023,112,American,San Antonio,3.2,30,591,Among Appetizer,Appetizer,16.2,3,06-01-2023 14:54,06-01-2023 15:56,62,54,5.21,1.12,52.93,PROMO-IFUP,fixed_amount,2,completed,7.2,0,FALSE,FALSE,
5075,6255,Bronze,organic,26-12-2024,197,Chinese,San Diego,4.7,14,1092,Expect Burger,Burger,6.33,1,06-01-2023 15:47,06-01-2023 16:17,30,27,3.84,0.18,10.35,,,0,completed,5.5,3.7,FALSE,FALSE,
7053,1914,Bronze,organic,24-09-2024,156,Chinese,San Antonio,4.3,22,846,Level Pizza,Pizza,33.74,1,06-01-2023 17:03,06-01-2023 18:08,65,48,5.67,3.38,36.04,PROMO-PUDT,percentage,6.75,completed,5.8,0.7,FALSE,FALSE,
4324,7336,Bronze,paid_ads,12-04-2024,164,Indian,Los Angeles,4.1,14,900,Man Sushi,Sushi,9.06,1,06-01-2023 17:04,06-01-2023 17:39,35,38,4.41,0.92,13.48,PROMO-EGJV,percentage,0.91,completed,0.7,0,FALSE,FALSE,
5243,1151,Silver,organic,18-04-2023,6,Mediterranean,Phoenix,3,34,28,Sense Appetizer,Appetizer,30.26,1,06-01-2023 17:09,06-01-2023 18:18,69,58,6.61,3.91,40.78,,,0,completed,6.9,0,FALSE,FALSE,
3327,4138,Gold,referral,14-01-2023,190,Japanese,New York,4.6,12,1053,Spring Pizza,Pizza,13.56,2,06-01-2023 17:56,06-01-2023 18:33,37,26,5.17,0.16,32.45,,,0,completed,4.1,0,FALSE,FALSE,
7037,4137,Bronze,referral,25-05-2024,119,Mediterranean,San Antonio,3.3,34,634,Store Appetizer,Appetizer,21.7,1,06-01-2023 20:36,06-01-2023 21:38,62,53,3.73,0.64,26.07,,,0,completed,2.5,0,FALSE,FALSE,
10607,7730,Silver,email,25-07-2024,41,Fast Food,Los Angeles,4.9,14,212,Type Main Course,Main Course,24.77,1,06-01-2023 21:07,06-01-2023 21:35,28,32,2.88,0.06,27.71,,,0,completed,3,0,FALSE,FALSE,
5027,1511,Gold,social_media,25-12-2023,128,Italian,San Antonio,4.2,31,688,Least Beverage,Beverage,9.78,1,07-01-2023 00:56,07-01-2023 02:00,64,42,6.19,2.33,18.3,,,0,completed,0.9,1,TRUE,FALSE,
5314,3916,Bronze,email,10-04-2024,13,Fast Food,Phoenix,4.3,18,72,Production Burger,Burger,24.46,4,07-01-2023 01:16,07-01-2023 02:04,48,34,4.22,7.66,109.72,,,0,completed,11.1,0,TRUE,FALSE,
2772,6326,Silver,referral,01-12-2023,21,Japanese,Chicago,4.3,24,110,Congress Pizza,Pizza,27.81,1,07-01-2023 02:54,07-01-2023 03:53,59,41,2.38,4.78,34.97,,,0,completed,7.6,15.5,TRUE,FALSE,
1094,3253,Bronze,social_media,20-08-2023,44,Mediterranean,New York,3.7,20,232,Color Main Course,Main Course,16.39,4,07-01-2023 07:02,07-01-2023 07:47,45,33,7.48,9.97,73.18,PROMO-UFGB,percentage,9.83,completed,8.3,0,TRUE,FALSE,
1915,8936,Bronze,referral,26-04-2024,8,Mexican,Houston,4.3,22,43,Save Pasta,Pasta,13.36,3,07-01-2023 10:09,07-01-2023 10:49,40,32,4.31,7.26,51.65,,,0,completed,1.4,0,TRUE,FALSE,
4008,3939,Gold,email,28-05-2023,51,American,Philadelphia,3.6,21,265,Car Burger,Burger,12.36,1,07-01-2023 10:51,07-01-2023 11:45,54,31,6.47,2.73,21.56,,,0,completed,-1.2,1.9,TRUE,FALSE,
2874,2512,Silver,paid_ads,06-11-2023,9,American,Philadelphia,3,28,46,Fall Sushi,Sushi,11.19,3,07-01-2023 12:29,07-01-2023 13:27,58,49,4.74,1.96,40.27,,,0,completed,4.3,0,TRUE,FALSE,
1926,1074,Silver,email,14-08-2023,45,Indian,San Antonio,3,20,238,A Beverage,Beverage,28.39,1,07-01-2023 15:49,07-01-2023 16:40,51,49,7.34,3.02,38.75,,,0,completed,4.4,0,TRUE,FALSE,
6149,2193,Silver,email,08-04-2023,114,Japanese,San Antonio,4.9,14,601,Opportunity Sushi,Sushi,23.24,3,07-01-2023 15:59,07-01-2023 16:47,48,39,2.16,5.72,77.6,,,0,completed,5.7,0,TRUE,FALSE,
9880,8208,Bronze,referral,10-02-2023,128,Italian,San Antonio,4.2,31,691,Business Dessert,Dessert,15.8,1,07-01-2023 16:36,07-01-2023 17:57,81,57,3.55,0.33,16.52,PROMO-SEYI,percentage,3.16,completed,11.3,3.3,TRUE,FALSE,
2336,7384,Bronze,paid_ads,07-10-2023,178,Fast Food,New York,3,27,976,Look Beverage,Beverage,30.71,1,07-01-2023 18:15,07-01-2023 19:19,64,50,5.26,0.25,36.22,,,0,completed,2.4,0,TRUE,FALSE,
7690,5172,Bronze,paid_ads,07-11-2023,138,Italian,Chicago,4.4,17,743,Weight Burger,Burger,17.42,1,07-01-2023 18:56,07-01-2023 19:47,51,45,3.93,3.33,24.68,,,0,completed,0,0,TRUE,FALSE,
7007,8299,Bronze,email,30-11-2024,135,American,Philadelphia,3.1,21,727,For Dessert,Dessert,28.42,1,07-01-2023 19:24,07-01-2023 20:06,42,41,6.45,0.92,35.79,,,0,completed,1.6,0,TRUE,FALSE,
5724,4315,Bronze,email,04-06-2024,38,Italian,Philadelphia,3,19,200,Social Dessert,Dessert,19.16,1,07-01-2023 21:02,07-01-2023 21:43,41,31,6.12,0.07,25.35,,,0,completed,5.7,0,TRUE,FALSE,
